id,nom,prenom,email,telephone,pseudo,password,campus
100,Audrie,Kat,Kat.Audrie@yopmail.com,1234567890,Audrie100,Az123@,"CHARTRES DE BRETAGNE"
101,Vanessa,Craggie,Craggie.Vanessa@yopmail.com,1234567890,Vanessa101,Az123@,"CHARTRES DE BRETAGNE"
102,Leona,Lasley,Lasley.Leona@yopmail.com,1234567890,Leona102,Az123@,"CHARTRES DE BRETAGNE"
103,Addia,Aloise,Aloise.Addia@yopmail.com,1234567890,Addia103,Az123@,"CHARTRES DE BRETAGNE"
104,Lilith,Corrine,Corrine.Lilith@yopmail.com,1234567890,Lilith104,Az123@,"CHARTRES DE BRETAGNE"
105,Dulcinea,Quent,Quent.Dulcinea@yopmail.com,1234567890,Dulcinea105,Az123@,"CHARTRES DE BRETAGNE"
106,Stacey,Socha,Socha.Stacey@yopmail.com,1234567890,Stacey106,Az123@,"CHARTRES DE BRETAGNE"
107,Genevra,Shields,Shields.Genevra@yopmail.com,1234567890,Genevra107,Az123@,"CHARTRES DE BRETAGNE"
108,Sibella,Nerita,Nerita.Sibella@yopmail.com,1234567890,Sibella108,Az123@,"CHARTRES DE BRETAGNE"
109,Dode,Jammal,Jammal.Dode@yopmail.com,1234567890,Dode109,Az123@,"CHARTRES DE BRETAGNE"
